CustomerNumber,StoreNumber,CustomerName,Address,City,State,ZipCode,SalesmanNumber,CustomerYTDSales,CustomerStartDate,Customer_Corporate_master,StatusCode,Call_Route_1,Call_Seq_1,Call_Route_2,Call_Seq_2,Call_Route_3,Call_Seq_3,Call_Route_4,Call_Seq_4,Call_Route_5,Call_Seq_5,Call_Route_6,Call_Seq_6,Call_Route_7,Call_Seq_7,Del_Route_1,Del_Seq_1,Del_Route_2,Del_Seq_2,Del_Route_3,Del_Seq_3,Del_Route_4,Del_Seq_4,Del_Route_5,Del_Seq_5,Del_Route_6,Del_Seq_6,Del_Route_7,Del_Seq_7,TaxCode,TermsCode,CreditLimit,CigaretteTaxNumber,StateTaxID,Areacode,PhoneNumber,SalesGroup,AuthorizedItemCode
901447,0,AMIGO'S                            ,20TH ST                       ,BIRMINGHAM                    ,AL,35222,60,0,11/18/2010,901447,A,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,799   ,999,A28000,02 ,0,BEV1234567        ,                  ,0,2516051,      , 
901553,0,GEORGIA ROAD MARKET                ,7559 GEORGIA RD SO            ,BIRMINGHAM                    ,AL,35212,30,12806.07,11/18/2010,901553,A,      ,0,S230  ,50,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,313   ,60,      ,0,      ,0,      ,0,      ,0,A28108,03 ,0,                  ,SLS-R007839401    ,0,9562950,      , 
901595,0,CARDS & GIFTS ON 6TH -REGIONS/HARBE,1901 6TH AVE N                ,BIRMINGHAM                    ,AL,35203,15,7016.49,11/18/2010,901595,A,      ,0,      ,0,      ,0,S415  ,80,      ,0,      ,0,      ,0,116   ,75,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,A28108,E1 ,0,                  ,SLS-3700 61526    ,0,0,      , 
901652,0,SOUTHSIDE MARKET                   ,1600 11TH PLACE SO            ,BIRMINGHAM                    ,AL,35205,30,19077.64,11/18/2010,100,A,      ,0,      ,0,      ,0,      ,0,S530  ,20,      ,0,      ,0,116   ,85,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,A28108,47 ,0,                  ,SLS-R010523690    ,0,3221129,      , 
901678,0,MOUNAS SUPER MARKET                ,400 1ST ST SO                 ,BIRMINGHAM                    ,AL,35205,15,0,11/18/2010,901678,A,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,A28108,03 ,3,                  ,SLS-R010738474    ,0,3238004,      , 
901843,0,BP PRINCETON                       ,641 LOMB AVE                  ,BIRMINGHAM                    ,AL,35211,20,27124.83,11/18/2010,901843,A,S120  ,10,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,219   ,12,      ,0,      ,0,      ,0,      ,0,      ,0,A28108,03 ,0,                  ,SLS-3700 68413    ,0,7867999,      , 
902031,0,RT 73 DAWES FOOD MART - CITY/CO MOB,EXPRESS MART/BUBBA'S CO ONLY  ,GEORGE -  3 STORES            ,AL,36606,73,0,11/18/2010,902031,A,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,A35181,03 ,0,                  ,                  ,0,4816064,      , 
902072,81,E & P SUPER MARKET #81             ,130 GRAYMONT AVE NO           ,BIRMINGHAM                    ,AL,35204,78,0,11/18/2010,599,A,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,A28108,03 ,0,                  ,37-54569          ,0,2549183,      , 
902098,0,UMA PRICING - DECATUR              ,                              ,DECATUR                       ,AL,35007,10,0,11/18/2010,902098,A,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,A57131,02 ,0,                  ,                  ,0,3242581,      , 
902205,0,FIVE POINTS MARKET                 ,1904 11TH AVE SO              ,BIRMINGHAM                    ,AL,35205,60,0,11/18/2010,902205,A,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,A28108,06 ,3,                  ,SLS-R009224950    ,0,2549132,      , 
902361,0,M & A GROCERY                      ,1700 AVE I ENSLEY             ,BIRMINGHAM                    ,AL,35218,50,14993.77,11/18/2010,902361,A,      ,0,      ,0,S350  ,70,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,431   ,60,      ,0,      ,0,      ,0,A28108,03 ,0,                  ,SLS-R000005211    ,0,7887871,      , 
902387,0,RT 35 278 ROCK GROCERY             ,MIKE MEINKE                   ,CULLMAN                       ,AL,35221,35,0,11/18/2010,902387,A,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,A15000,03 ,0,                  ,SLS-3700 63532    ,0,3242581,      , 
902478,0,HAWK'S FOOD AND BEVERAGE           ,118 1ST ST SO                 ,BIRMINGHAM                    ,AL,35205,15,0,11/18/2010,902478,A,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,A28108,03 ,0,                  ,3700 38023        ,0,3241413,      , 
902569,0,MANIS STOP - MANI INV              ,1200 25TH ST N                ,BIRMINGHAM                    ,AL,35234,20,23994.07,11/18/2010,100,A,      ,0,S220  ,110,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,313   ,30,      ,0,      ,0,      ,0,      ,0,A28000,02 ,0,                  ,SLS-3700 64888    ,0,9793535,      , 
902791,0,G & H STOP N GO                    ,401 LAWSON RD                 ,BIRMINGHAM                    ,AL,35215,85,42509.65,11/18/2010,902791,A,S185  ,130,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,320   ,40,      ,0,      ,0,      ,0,      ,0,A28108,E4+,0,                  ,SLS-R010832880    ,0,5635734,      , 
902908,0,LOGAN GENERAL STORE                ,INTERSTATE 65                 ,WARRIOR                       ,AL,35180,35,0,11/18/2010,902908,A,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,A00000,02 ,0,                  ,                  ,0,6473127,      , 
903195,0,#001--REGULAR PRICE (ALA TAX)      ,100 AIRVIEW LANE              ,ALABASTER                     ,AL,35007,60,0,11/18/2010,903195,A,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,A00000,01 ,0,                  ,                  ,0,0,      , 
903203,0,#002--SPECIAL PRICE ALA TAXONLY    ,100 AIRVIEW LANE              ,ALABASTER                     ,AL,35007,60,0,11/18/2010,903203,A,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,A00000,01 ,0,                  ,                  ,0,0,      , 
903211,0,#005--SUPER MARKET (BRUNOS-FW)     ,                              ,                              ,  ,35007,60,0,11/18/2010,903211,A,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,A28000,01 ,0,                  ,                  ,0,0,      , 
903229,0,#006--DRUG & FOOD(BIG B-MART)      ,3.25%--CIGARETTES             ,                              ,  ,35116,60,0,11/18/2010,903229,A,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,M00000,01 ,0,                  ,                  ,0,0,      , 
903237,0,#007--SUPER MARKET                 ,3.25%--CIGARETTES             ,                              ,  ,35007,60,0,11/18/2010,903237,A,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,A28000,01 ,0,                  ,                  ,0,0,      , 
903245,0,#008--SUPER MARKET (WESTERN)       ,                              ,                              ,  ,35007,60,0,11/18/2010,903245,A,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,A28000,01 ,0,                  ,                  ,0,0,      , 
903252,0,#003--SUPER PRICE ALA TAX ONLY     ,100 AIRVIEW LANE              ,ALABASTER                     ,AL,35007,60,0,11/18/2010,903252,A,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,A00000,01 ,0,                  ,                  ,0,0,      , 
903260,0,RT 33 GROUP PRICE MS               , TN 2 STORES 3 MS             ,MARK 5 TOTAL STORES           ,TN,37214,33,0,11/18/2010,903260,A,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,M00000,03 ,0,                  ,                  ,0,8712400,      , 
903278,0,#012--SUB-JOBBER                   ,3.00%--CIGARETTES             ,                              ,  ,35007,60,0,11/18/2010,903278,A,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,A00000,01 ,0,                  ,                  ,0,0,      , 
903336,0,MR P'S                             ,813 SHADES CREST RD           ,HOOVER                        ,AL,35226,20,571.33,11/18/2010,903336,A,      ,0,      ,0,S320  ,50,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,421   ,115,      ,0,      ,0,      ,0,A28000,02 ,0,                  ,R006069143        ,0,8236136,      , 
903393,0,ODDO SAV-A-STOP                    ,232 9TH COURT NO              ,BIRMINGHAM                    ,AL,35204,20,22849.82,11/18/2010,903393,A,      ,0,      ,0,      ,0,      ,0,S520  ,80,      ,0,      ,0,117   ,115,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,A28108,03 ,0,                  ,SLS-R010644955    ,0,2523701,      , 
903518,0,POP-N-SNACK #1                     ,6920 MARTIN LUTHER KING       ,BIRMINGHAM                    ,AL,35064,40,0,11/18/2010,903518,A,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,A28000,03 ,0,                  ,                  ,0,7850040,      , 
903690,0,R.J.REYNOLDS TOBACCO CO.           ,2 RIVERCHASE OFFICE PLAZ      ,BIRMINGHAM                    ,AL,35244,60,0,11/18/2010,903690,A,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,A28000,03 ,0,                  ,                  ,0,9824844,      , 
903831,0,VAPE LAB - JACOB ALLIANCE LLC      ,1904 11TH AVE S               ,BIRMINGHAM                    ,AL,35205,20,13329.85,11/18/2010,903831,A,      ,0,      ,0,S320  ,100,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,516   ,55,      ,0,      ,0,A28108,E1+,0,                  ,SLS-R011499150    ,0,3934256,      , 
903864,7,ARCTIC ICE COMPANY                 ,2011 AV E (ENSLEY)            ,BIRMINGHAM                    ,AL,35218,40,0,11/18/2010,903864,A,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,A28108,02 ,2,                  ,                  ,0,7882041,      , 
903989,0,PETE'S SAV-U-PIGGLY WIGGLY#360     ,5000 BESSEMER HWY             ,BESSEMER                      ,AL,35020,35,0,11/18/2010,903989,A,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,A28000,03 ,0,                  ,3700 34861        ,0,4283451,      , 
904284,0,TOOTIES ON 31-<JRS BEV>-FULTONDALE ,925 DECATUR HWY   #103        ,FULTONDALE                    ,AL,35068,35,4068.71,11/18/2010,904284,A,      ,0,S235  ,110,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,310   ,95,      ,0,      ,0,      ,0,      ,0,A28147,03 ,0,                  ,SLS-3700 65384    ,0,8415571,      , 
904318,0,PIGGLY WIGGLY #234 SYLACAUGA       ,1244 TALLADEGA HWY            ,SYLACAUGA                     ,AL,35150,85,0,11/18/2010,904318,A,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,A45219,03 ,0,                  ,SLS-6100 08609    ,0,2494836,      , 
