Cust No.,Item No.,Description,Description,UPC 2 - Box,U/M,Packed,Retail Pack,Price,Retail,UPC 1 - Each,UPC 2 - Box,UPC 3 - Case,Each Price,Description,Unit Retail
910992,100032,CAMEL REGULAR,R.J. REYNOLDS,12300101134.00,CTN,00010 PAK,10/CT,122.51,13.61,12300000017.00,12300101134.00,12300305778.00,12.25,CIGARETTES,136.1
910992,100040,CAMEL FILTER KING,R.J. REYNOLDS,12300102131.00,CTN,00010 PAK,10/CT,96.16,10.69,12300000024.00,12300102131.00,12300131230.00,9.62,CIGARETTES,106.9
910992,100057,CAMEL BLUE KING,R.J. REYNOLDS,12300104135.00,CTN,00010 PAK,10/CT,96.16,10.69,12300000048.00,12300104135.00,12300131254.00,9.62,CIGARETTES,106.9
910992,100065,CAMEL BLUE BOX KING,R.J. REYNOLDS,12300107136.00,CTN,00010 PAK,10/CT,86.83,9.64,12300000079.00,12300107136.00,12300305945.00,8.68,CIGARETTES,96.4
910992,100107,SALEM BOX KS,ITG,90500100249.00,CTN,00010 PAK,10/CT,96,10.67,90500000907.00,90500100249.00,90500151142.00,9.6,CIGARETTES,106.7
910992,100115,SALEM GOLD BOX KS,ITG,90500100270.00,CTN,00010 PAK,10/CT,96,10.67,90500000938.00,90500100270.00,90500151180.00,9.6,CIGARETTES,106.7
910992,100123,SALEM SILVER BOX KS,ITG,90500100294.00,CTN,00010 PAK,10/CT,96,10.67,90500000952.00,90500100294.00,90500200468.00,9.6,CIGARETTES,106.7
910992,100149,VANTAGE PLAIN KING,R.J. REYNOLDS,12300130134.00,CTN,00010 PAK,10/CT,122.51,13.61,12300000307.00,12300130134.00,12300131278.00,12.25,CIGARETTES,136.1
910992,100156,VANTAGE CLASSIC MNTHL KS,R.J. REYNOLDS,12300132138.00,CTN,00010 PAK,10/CT,122.51,13.61,12300000321.00,12300132138.00,12300307741.00,12.25,CIGARETTES,136.1
910992,100164,VANTAGE SILVER BOX KS,R.J. REYNOLDS,12300367554.00,CTN,00010 PAK,10/CT,122.51,13.61,12300367547.00,12300367554.00,12300367561.00,12.25,CIGARETTES,136.1
910992,100198,WINSTON RED BOX KING,ITG,90500100096.00,CTN,00010 PAK,10/CT,84,9.33,90500000570.00,90500100096.00,90500150367.00,8.4,CIGARETTES,93.3
910992,100230,MARL BLACK MENTHOL BOX 100,PHILIP MORRIS,28200196408.00,CTN,00010 PAK,10/CT,79.03,8.78,28200009647.00,28200196408.00,28200096463.00,7.9,CIGARETTES,87.8
910992,100438,MARLBORO BOX KING,PHILIP MORRIS,28200135704.00,CTN,00010 PAK,10/CT,83.65,9.3,28200003577.00,28200135704.00,28200035707.00,8.37,CIGARETTES,93
910992,100453,MARLBORO GOLD BOX KING,PHILIP MORRIS,28200138408.00,CTN,00010 PAK,10/CT,83.65,9.3,28200003843.00,28200138408.00,28200038401.00,8.37,CIGARETTES,93
910992,100552,MARLBORO EIGHTY-THREES BX KS,PHILIP MORRIS,28200318510.00,CTN,00010 PAK,10/CT,83.65,9.3,28200318527.00,28200318510.00,28200318565.00,8.37,CIGARETTES,93
910992,100644,NEWPORT KING,R.J. REYNOLDS,26100805789.00,CTN,00010 PAK,10/CT,91.96,10.22,26100005783.00,26100805789.00,10026100013815.00,9.2,CIGARETTES,102.2
910992,100651,NEWPORT BOX KING,R.J. REYNOLDS,26100805758.00,CTN,00010 PAK,10/CT,91.96,10.22,26100005752.00,26100805758.00,10026100015116.00,9.2,CIGARETTES,102.2
910992,100669,NEWPORT MEN GOLD KS,R.J. REYNOLDS,26100805796.00,CTN,00010 PAK,10/CT,91.96,10.22,26100005790.00,26100805796.00,10026100015123.00,9.2,CIGARETTES,102.2
910992,100735,PALL MALL MEN BLACK BOX KS,VALUE BRANDS: R.J. REYNOLDS,27200347247.00,CTN,00010 PAK,10/CT,80.37,8.93,27200347254.00,27200347247.00,27200347230.00,8.04,CIGARETTES,89.3
910992,100743,PALL MALL MEN BLACK BOX 100,VALUE BRANDS: R.J. REYNOLDS,27200347278.00,CTN,00010 PAK,10/CT,80.37,8.93,27200347285.00,27200347278.00,27200347261.00,8.04,CIGARETTES,89.3
910992,100750,PALL MALL MEN WHITE BOX KS,VALUE BRANDS: R.J. REYNOLDS,27200347308.00,CTN,00010 PAK,10/CT,80.37,8.93,27200347315.00,27200347308.00,27200347292.00,8.04,CIGARETTES,89.3
910992,100768,PALL MALL MEN WHITE BOX 100,VALUE BRANDS: R.J. REYNOLDS,27200347339.00,CTN,00010 PAK,10/CT,80.37,8.93,27200347346.00,27200347339.00,27200347322.00,8.04,CIGARETTES,89.3
910992,100776,KOOL FILTER KING,ITG,90500100188.00,CTN,00010 PAK,10/CT,84.72,9.41,90500000723.00,90500100188.00,90500200291.00,8.47,CIGARETTES,94.1
910992,100792,KOOL BOX KING,ITG,90500100171.00,CTN,00010 PAK,10/CT,84.72,9.41,90500000716.00,90500100171.00,90500151111.00,8.47,CIGARETTES,94.1
910992,100875,MARLBORO NXT BOX KING,PHILIP MORRIS,28200317711.00,CTN,00010 PAK,10/CT,79.03,8.78,28200317728.00,28200317711.00,28200317766.00,7.9,CIGARETTES,87.8
910992,100891,MORE SLIM 120,R.J. REYNOLDS,12300155137.00,CTN,00010 PAK,10/CT,122.51,13.61,12300000550.00,12300155137.00,12300131155.00,12.25,CIGARETTES,136.1
910992,100909,MORE MENTHOL SLIM 120,R.J. REYNOLDS,12300160131.00,CTN,00010 PAK,10/CT,122.51,13.61,12300000604.00,12300160131.00,12300131148.00,12.25,CIGARETTES,136.1
910992,100925,MARLBORO SOUTHERN CUT BOX KS,PHILIP MORRIS,28200142405.00,CTN,00010 PAK,10/CT,83.65,9.3,28200004246.00,28200142405.00,28200042460.00,8.37,CIGARETTES,93
910992,100958,SALEM BOX 100,ITG,90500100256.00,CTN,00010 PAK,10/CT,96,10.67,90500000914.00,90500100256.00,90500151166.00,9.6,CIGARETTES,106.7
910992,100966,SALEM GOLD BOX 100,ITG,90500100287.00,CTN,00010 PAK,10/CT,96,10.67,90500000945.00,90500100287.00,90500151203.00,9.6,CIGARETTES,106.7
910992,100974,SALEM SLIM BOX 100,ITG,90500100263.00,CTN,00010 PAK,10/CT,96,10.67,90500000921.00,90500100263.00,90500151173.00,9.6,CIGARETTES,106.7
